district_id,period_type,period_start_date,TOT_AVG,male_buckets_avg,female_buckets_avg,daytime_avg,nighttime_avg
11680,DAILY,2025-07-18,888273,"{""F0T9"": 29634, ""F10T14"": 20164, ""F15T19"": 33207, ""F20T24"": 21784, ""F25T29"": 32038, ""F30T34"": 35176, ""F35T39"": 44600, ""F40T44"": 43949, ""F45T49"": 48093, ""F50T54"": 35855, ""F55T59"": 27909, ""F60T64"": 17854, ""F65T69"": 12312, ""F70T74"": 24742}","{""F0T9"": 26911, ""F10T14"": 17908, ""F15T19"": 29490, ""F20T24"": 33368, ""F25T29"": 44809, ""F30T34"": 42032, ""F35T39"": 45541, ""F40T44"": 42919, ""F45T49"": 45995, ""F50T54"": 30456, ""F55T59"": 25469, ""F60T64"": 19456, ""F65T69"": 15649, ""F70T74"": 40952}",1032884,744858
11680,DAILY,2025-07-19,770049,"{""F0T9"": 29390, ""F10T14"": 19932, ""F15T19"": 34627, ""F20T24"": 21006, ""F25T29"": 25134, ""F30T34"": 26644, ""F35T39"": 33033, ""F40T44"": 33887, ""F45T49"": 39871, ""F50T54"": 30532, ""F55T59"": 24264, ""F60T64"": 15907, ""F65T69"": 11156, ""F70T74"": 22984}","{""F0T9"": 26991, ""F10T14"": 17812, ""F15T19"": 32383, ""F20T24"": 28448, ""F25T29"": 31362, ""F30T34"": 30232, ""F35T39"": 35561, ""F40T44"": 36743, ""F45T49"": 41805, ""F50T54"": 28057, ""F55T59"": 23155, ""F60T64"": 17528, ""F65T69"": 13825, ""F70T74"": 37779}",831376,738883
11680,DAILY,2025-07-20,721530,"{""F0T9"": 28838, ""F10T14"": 19272, ""F15T19"": 32978, ""F20T24"": 19883, ""F25T29"": 23054, ""F30T34"": 24253, ""F35T39"": 30389, ""F40T44"": 31404, ""F45T49"": 37653, ""F50T54"": 29021, ""F55T59"": 22678, ""F60T64"": 14979, ""F65T69"": 10436, ""F70T74"": 22289}","{""F0T9"": 26135, ""F10T14"": 17076, ""F15T19"": 30289, ""F20T24"": 25947, ""F25T29"": 27298, ""F30T34"": 26644, ""F35T39"": 32031, ""F40T44"": 34097, ""F45T49"": 39529, ""F50T54"": 26569, ""F55T59"": 21920, ""F60T64"": 16512, ""F65T69"": 13218, ""F70T74"": 37140}",758153,693354
11680,DAILY,2025-07-21,882990,"{""F0T9"": 29034, ""F10T14"": 19862, ""F15T19"": 33637, ""F20T24"": 21025, ""F25T29"": 31192, ""F30T34"": 35293, ""F35T39"": 44764, ""F40T44"": 44273, ""F45T49"": 48532, ""F50T54"": 36072, ""F55T59"": 28296, ""F60T64"": 17935, ""F65T69"": 12195, ""F70T74"": 24548}","{""F0T9"": 26210, ""F10T14"": 17629, ""F15T19"": 30159, ""F20T24"": 31909, ""F25T29"": 43992, ""F30T34"": 41810, ""F35T39"": 45439, ""F40T44"": 42576, ""F45T49"": 45558, ""F50T54"": 30249, ""F55T59"": 25078, ""F60T64"": 19463, ""F65T69"": 15553, ""F70T74"": 40707}",1040568,693254
11680,DAILY,2025-07-22,903091,"{""F0T9"": 29259, ""F10T14"": 20028, ""F15T19"": 34467, ""F20T24"": 21301, ""F25T29"": 31860, ""F30T34"": 36244, ""F35T39"": 46398, ""F40T44"": 45453, ""F45T49"": 49366, ""F50T54"": 36579, ""F55T59"": 28677, ""F60T64"": 18076, ""F65T69"": 12406, ""F70T74"": 24798}","{""F0T9"": 26716, ""F10T14"": 17900, ""F15T19"": 31103, ""F20T24"": 32695, ""F25T29"": 46074, ""F30T34"": 43890, ""F35T39"": 47192, ""F40T44"": 43469, ""F45T49"": 46434, ""F50T54"": 30700, ""F55T59"": 25472, ""F60T64"": 19757, ""F65T69"": 15776, ""F70T74"": 40999}",1065167,734062
11680,DAILY,2025-07-23,901387,"{""F0T9"": 29034, ""F10T14"": 19756, ""F15T19"": 34364, ""F20T24"": 21347, ""F25T29"": 32021, ""F30T34"": 36498, ""F35T39"": 46368, ""F40T44"": 45330, ""F45T49"": 49095, ""F50T54"": 36438, ""F55T59"": 28545, ""F60T64"": 18088, ""F65T69"": 12404, ""F70T74"": 24670}","{""F0T9"": 26434, ""F10T14"": 17561, ""F15T19"": 31320, ""F20T24"": 33049, ""F25T29"": 46152, ""F30T34"": 43832, ""F35T39"": 47066, ""F40T44"": 43303, ""F45T49"": 46295, ""F50T54"": 30535, ""F55T59"": 25441, ""F60T64"": 19771, ""F65T69"": 15734, ""F70T74"": 40938}",1060579,742441
11680,DAILY,2025-07-24,908537,"{""F0T9"": 28709, ""F10T14"": 19726, ""F15T19"": 34786, ""F20T24"": 21750, ""F25T29"": 32122, ""F30T34"": 36649, ""F35T39"": 46521, ""F40T44"": 45278, ""F45T49"": 49250, ""F50T54"": 36923, ""F55T59"": 28670, ""F60T64"": 18138, ""F65T69"": 12488, ""F70T74"": 24644}","{""F0T9"": 26768, ""F10T14"": 17896, ""F15T19"": 32841, ""F20T24"": 34516, ""F25T29"": 46713, ""F30T34"": 44448, ""F35T39"": 47293, ""F40T44"": 43287, ""F45T49"": 46795, ""F50T54"": 30819, ""F55T59"": 25508, ""F60T64"": 19623, ""F65T69"": 15748, ""F70T74"": 40629}",1071740,743471
11680,DAILY,2025-07-25,890083,"{""F0T9"": 27842, ""F10T14"": 19113, ""F15T19"": 34635, ""F20T24"": 21869, ""F25T29"": 31835, ""F30T34"": 35548, ""F35T39"": 44603, ""F40T44"": 43235, ""F45T49"": 47834, ""F50T54"": 35900, ""F55T59"": 28183, ""F60T64"": 17865, ""F65T69"": 12202, ""F70T74"": 24626}","{""F0T9"": 26440, ""F10T14"": 17585, ""F15T19"": 32889, ""F20T24"": 34383, ""F25T29"": 45319, ""F30T34"": 42516, ""F35T39"": 45754, ""F40T44"": 42061, ""F45T49"": 46088, ""F50T54"": 30654, ""F55T59"": 25385, ""F60T64"": 19343, ""F65T69"": 15585, ""F70T74"": 40792}",1041733,742886
11680,DAILY,2025-07-26,757319,"{""F0T9"": 27210, ""F10T14"": 18458, ""F15T19"": 34770, ""F20T24"": 21102, ""F25T29"": 25023, ""F30T34"": 26439, ""F35T39"": 32481, ""F40T44"": 32205, ""F45T49"": 38572, ""F50T54"": 30314, ""F55T59"": 24028, ""F60T64"": 15750, ""F65T69"": 10746, ""F70T74"": 22685}","{""F0T9"": 25974, ""F10T14"": 17015, ""F15T19"": 33723, ""F20T24"": 29318, ""F25T29"": 32102, ""F30T34"": 30359, ""F35T39"": 34429, ""F40T44"": 34845, ""F45T49"": 41099, ""F50T54"": 27762, ""F55T59"": 22833, ""F60T64"": 17145, ""F65T69"": 13609, ""F70T74"": 37322}",819542,729237
11680,DAILY,2025-07-27,707882,"{""F0T9"": 27005, ""F10T14"": 18002, ""F15T19"": 32962, ""F20T24"": 19918, ""F25T29"": 22761, ""F30T34"": 23929, ""F35T39"": 29448, ""F40T44"": 29851, ""F45T49"": 36310, ""F50T54"": 28928, ""F55T59"": 22611, ""F60T64"": 14726, ""F65T69"": 10207, ""F70T74"": 21931}","{""F0T9"": 25545, ""F10T14"": 16474, ""F15T19"": 31372, ""F20T24"": 26183, ""F25T29"": 27453, ""F30T34"": 26364, ""F35T39"": 31059, ""F40T44"": 32257, ""F45T49"": 38658, ""F50T54"": 26337, ""F55T59"": 21686, ""F60T64"": 16285, ""F65T69"": 12990, ""F70T74"": 36630}",744539,678849
